# Description of the experiment:
#
# - We generate the costs to up to 10.000 tasks for 10 and 100 resources.
# All costs follow quadratic functions with RNG seeds [700..799].
# - We schedule from 1.000 to 10.000 tasks in increments of 100.
# - We run OLAR, and the extended versions of Fed-LBAP, FedAvg, and
# Proportional.
# -- For Proportional, we generate three different results using
# three different values for k (1, #tasks/#resources, #tasks)
# - All resources have a lower limit of 4, except the resource with the
# highest cost for the number of tasks. That resource gets a minimum of
# (tasks/resources)/4.
# - All resources have an upper limit of 2*(tasks/resources), except the
# resource with the lowest cost for the number of tasks. That resource
# gets an upper limit of (tasks/resources)/2.
# - Every result is verified and logged to a CSV file.
Scheduler,Tasks,Resources,Makespan
FedAvg,5700,10,3247801.6367234443
Fed-LBAP,5700,10,1614845.8360328737
OLAR,5700,10,1614845.8360328737
Proportional-(1),5800,10,3457393.087018828
Proportional-(tasks/res),5800,10,3024832.7654575193
Proportional-(tasks),5800,10,3030212.7856000145
FedAvg,5800,10,3367711.4657718143
Fed-LBAP,5800,10,1672003.4480150589
OLAR,5800,10,1672003.4480150589
Proportional-(1),5900,10,3574452.9461457864
Proportional-(tasks/res),5900,10,3127870.5708397306
Proportional-(tasks),5900,10,3133341.4157238714
FedAvg,5900,10,3478606.5960020297
Fed-LBAP,5900,10,1729358.4934790607
OLAR,5900,10,1729358.4934790607
Proportional-(1),6000,10,3704377.2586642625
Proportional-(tasks/res),6000,10,3232634.046313225
Proportional-(tasks),6000,10,3243762.165814359
FedAvg,6000,10,3602666.0534601347
Fed-LBAP,6000,10,1788510.3478361333
OLAR,6000,10,1788510.3478361333
Proportional-(1),6100,10,3825511.972487843
Proportional-(tasks/res),6100,10,3344775.686245437
Proportional-(tasks),6100,10,3350432.9608624307
FedAvg,6100,10,3717333.5731537472
Fed-LBAP,6100,10,1848444.241262785
OLAR,6100,10,1848444.241262785
Proportional-(1),6200,10,3948595.5298619824
Proportional-(tasks/res),6200,10,3453081.3266431447
Proportional-(tasks),6200,10,3458829.426001786
FedAvg,6200,10,3845542.659021588
Fed-LBAP,6200,10,1910139.6797602687
OLAR,6200,10,1910139.6797602687
Proportional-(1),6300,10,4085091.149559201
Proportional-(tasks/res),6300,10,3568951.561232424
Proportional-(tasks),6300,10,3568951.561232424
FedAvg,6300,10,3975925.3597707194
Fed-LBAP,6300,10,1972383.9033966698
OLAR,6300,10,1972383.9033966698
Proportional-(1),6400,10,4212249.561629963
Proportional-(tasks/res),6400,10,3680799.366554346
Proportional-(tasks),6400,10,3686733.8956458396
FedAvg,6400,10,4096341.2824561736
Fed-LBAP,6400,10,2034712.1061846626
OLAR,6400,10,2034712.1061846626
Proportional-(1),6500,10,4341356.817251284
Proportional-(tasks/res),6500,10,3800398.1958006914
Proportional-(tasks),6500,10,3800398.1958006914
FedAvg,6500,10,4230873.61161504
Fed-LBAP,6500,10,2098688.545255945
OLAR,6500,10,2098688.545255945
Proportional-(1),6600,10,4484423.744127244
Proportional-(tasks/res),6600,10,3915788.1660468276
Proportional-(tasks),6600,10,3921909.124871175
FedAvg,6600,10,4355061.923763891
Fed-LBAP,6600,10,2162957.7165031154
OLAR,6600,10,2162957.7165031154
Proportional-(1),6700,10,4617605.854445186
Proportional-(tasks/res),6700,10,4032903.8063842473
Proportional-(tasks),6700,10,4039115.58995024
FedAvg,6700,10,4493743.881332493
Fed-LBAP,6700,10,2230214.3372084787
OLAR,6700,10,2230214.3372084787
Proportional-(1),6800,10,4752736.808313687
Proportional-(tasks/res),6800,10,4151745.11681295
Proportional-(tasks),6800,10,4158047.72512059
FedAvg,6800,10,4621704.58294474
Fed-LBAP,6800,10,2297106.6413896
OLAR,6800,10,2297106.6413896
Proportional-(1),6900,10,4902375.0423683915
Proportional-(tasks/res),6900,10,4278705.5303822225
Proportional-(tasks),6900,10,4278705.5303822225
FedAvg,6900,10,4764536.168923078
Fed-LBAP,6900,10,2365402.0921692173
OLAR,6900,10,2365402.0921692173
Proportional-(1),7000,10,5041580.850933515
Proportional-(tasks/res),7000,10,4401089.005735141
Proportional-(tasks),7000,10,4407578.043775634
FedAvg,7000,10,4896269.25999872
Fed-LBAP,7000,10,2433189.2024446623
OLAR,7000,10,2433189.2024446623
Proportional-(1),7100,10,5182735.503049196
Proportional-(tasks/res),7100,10,4531778.013961481
Proportional-(tasks),7100,10,4531778.013961481
FedAvg,7100,10,5043250.474386795
Fed-LBAP,7100,10,2503495.9755545747
OLAR,7100,10,2503495.9755545747
Proportional-(1),7200,10,5325838.998715436
Proportional-(tasks/res),7200,10,4657703.6542386105
Proportional-(tasks),7200,10,4664379.122011959
FedAvg,7200,10,5192405.30365616
Fed-LBAP,7200,10,2573988.5749403215
OLAR,7200,10,2573988.5749403215
Proportional-(1),7300,10,5484174.5510949455
Proportional-(tasks/res),7300,10,4792121.257122019
Proportional-(tasks),7300,10,4792121.257122019
FedAvg,7300,10,5329886.7977236435
Fed-LBAP,7300,10,2646177.7773143896
OLAR,7300,10,2646177.7773143896
Proportional-(1),7400,10,5631352.901457808
Proportional-(tasks/res),7400,10,4921589.0623233635
Proportional-(tasks),7400,10,4928450.959829564
FedAvg,7400,10,5483191.255402745
Fed-LBAP,7400,10,2720256.769212573
OLAR,7400,10,2720256.769212573
Proportional-(1),7500,10,5780480.095371229
Proportional-(tasks/res),7500,10,5059735.2598638395
Proportional-(tasks),7500,10,5059735.2598638395
FedAvg,7500,10,5624445.138933624
Fed-LBAP,7500,10,2792775.8356807292
OLAR,7500,10,2792775.8356807292
Proportional-(1),7600,10,5945386.954929481
Proportional-(tasks/res),7600,10,5185701.682999903
Proportional-(tasks),7600,10,5192745.229989397
FedAvg,7600,10,5781899.225022461
Fed-LBAP,7600,10,2869224.7584928935
OLAR,7600,10,2869224.7584928935
Proportional-(1),7700,10,6098589.003539525
Proportional-(tasks/res),7700,10,5334620.022186939
