# Description of the experiment:
#
# - We generate the costs to up to 10.000 tasks for
# 100 to 1.000 resources with steps of 100.
# - All costs follow linear functions with RNG seeds [0..999].
# - We schedule 10.000 tasks.
# - We run OLAR, Fed-LBAP, FedAvg, Random, and Proportional.
# - All resources have a lower limit of 4, except the resource with the
# highest cost for the number of tasks. That resource gets a minimum of
# (tasks/resources)/4.
# - All resources have an upper limit of 2*(tasks/resources), except the
# resource with the lowest cost for the number of tasks. That resource
# gets an upper limit of (tasks/resources)/2.
# - Each sample is composed of 100 executions of the schedulers.
# - We get 50 samples for each pair (scheduler, tasks)
# - The order of execution of the different schedulers is
# randomly defined. We set an initial RNG seed = 1000 and increase
# it every time we need a new order.
Limits,Tasks,Resources,Time
None,10000,1000,2.1673633369998697
Upper,10000,1000,2.193982318999815
Lower,10000,1000,1.3571449949999987
Both,10000,1000,1.3639862749998883
Both,10000,1000,1.3618788590001714
None,10000,1000,2.162120327999901
Upper,10000,1000,2.195909921000066
Lower,10000,1000,1.3593412800000806
Upper,10000,1000,2.1977641019998373
None,10000,1000,2.1638091449999592
Both,10000,1000,1.3627945319999526
Lower,10000,1000,1.3560557850000805
Upper,10000,1000,2.1932770280000113
None,10000,1000,2.1650588109998807
Both,10000,1000,1.363574399999834
Lower,10000,1000,1.3578632950000156
Lower,10000,1000,1.3556745370001408
None,10000,1000,2.1651510859999235
Upper,10000,1000,2.2001794819998395
Both,10000,1000,1.37399728399987
Both,10000,1000,1.3620829779999895
Upper,10000,1000,2.1978979949999484
Lower,10000,1000,1.3572497840000324
None,10000,1000,2.1675982379999823
Lower,10000,1000,1.3601738729998942
Both,10000,1000,1.36441033899996
Upper,10000,1000,2.1943937300000016
None,10000,1000,2.163892315000112
Upper,10000,1000,2.1937841290000506
Both,10000,1000,1.3602534990000095
None,10000,1000,2.162513506999858
Lower,10000,1000,1.360522205000052
Both,10000,1000,1.3627834789999724
Lower,10000,1000,1.3575677450000967
None,10000,1000,2.160898770999893
Upper,10000,1000,2.1956823420000546
Lower,10000,1000,1.362453966999965
Both,10000,1000,1.3634788120000394
Upper,10000,1000,2.195371272000102
None,10000,1000,2.1626559460000863
None,10000,1000,2.159131245000026
Lower,10000,1000,1.3563180569999531
Both,10000,1000,1.3650181459997839
Upper,10000,1000,2.193390374999808
Upper,10000,1000,2.1970659359999445
Lower,10000,1000,1.3581272300000364
Both,10000,1000,1.3641411060000337
None,10000,1000,2.1674278520001735
Lower,10000,1000,1.3638404339999397
Both,10000,1000,1.3631599870000173
Upper,10000,1000,2.1935684940001465
None,10000,1000,2.1614922400001433
None,10000,1000,2.165728425999987
Upper,10000,1000,2.192051787000082
Both,10000,1000,1.3650163909999264
Lower,10000,1000,1.3581582940000771
Upper,10000,1000,2.194580235000103
Both,10000,1000,1.3645267759998205
None,10000,1000,2.163929633999942
Lower,10000,1000,1.35984458300004
Lower,10000,1000,1.3576106350001282
None,10000,1000,2.163557368000056
Upper,10000,1000,2.194851715999903
Both,10000,1000,1.365340789999891
None,10000,1000,2.1688936830000785
Both,10000,1000,1.36428656399994
Lower,10000,1000,1.360305230999984
Upper,10000,1000,2.2106350500000644
Upper,10000,1000,2.195208325999829
None,10000,1000,2.1878163999999742
Both,10000,1000,1.3677409409999655
Lower,10000,1000,1.355806732000019
None,10000,1000,2.1687510980000297
Upper,10000,1000,2.198064554999746
Lower,10000,1000,1.3949366290003127
Both,10000,1000,1.3641200449997086
Both,10000,1000,1.360584906999975
Lower,10000,1000,1.3579349569999977
Upper,10000,1000,2.196090010000262
None,10000,1000,2.1614348949997293
Lower,10000,1000,1.3568465639996248
None,10000,1000,2.1678525719999016
Upper,10000,1000,2.19428987099991
Both,10000,1000,1.3614526319997822
Upper,10000,1000,2.1974558679999063
None,10000,1000,2.1605458109997926
Both,10000,1000,1.3644344720000845
Lower,10000,1000,1.358726834999743
None,10000,1000,2.167232978999891
Lower,10000,1000,1.3547071590000996
Both,10000,1000,1.3632283349998033
Upper,10000,1000,2.194483482999658
Both,10000,1000,1.365170562000003
Upper,10000,1000,2.1969493749998037
Lower,10000,1000,1.3594769039996208
None,10000,1000,2.167504320000262
Both,10000,1000,1.361436975000288
Lower,10000,1000,1.356529736000084
Upper,10000,1000,2.1903604039998754
None,10000,1000,2.1580571949998557
None,10000,1000,2.160527785999875
Lower,10000,1000,1.357849299999998
Both,10000,1000,1.3623628090003876
Upper,10000,1000,2.1959506759999385
Upper,10000,1000,2.1980739129999165
None,10000,1000,2.1670875089998844
Both,10000,1000,1.3625372789997527
Lower,10000,1000,1.3550870680001026
None,10000,1000,2.162577763999707
Upper,10000,1000,2.191905559999668
Lower,10000,1000,1.3526775630002703
Both,10000,1000,1.3644056400003137
Both,10000,1000,1.3647433739997723
None,10000,1000,2.162699572999827
Lower,10000,1000,1.3589781460000268
Upper,10000,1000,2.1937014140003157
Upper,10000,1000,2.197237503999986
None,10000,1000,2.1671932160002143
