# Description of the experiment:
#
# - We generate the costs to up to 10.000 tasks for 10 and 100 resources.
# All costs follow linear functions with RNG seeds [100..199].
# - We schedule from 1.000 to 10.000 tasks in increments of 100.
# - We run OLAR, Fed-LBAP, FedAvg, Random, and Proportional.
# -- For Random, we generate three different results using three
# starting RNG seeds (4000, 5000, 6000). We increment the starting RNG seed
# each time we change the number of tasks.
# -- For Proportional, we generate three different results using
# three different values for k (1, #tasks/#resources, #tasks)
# - We use no lower or upper limits.
# - Every result is verified and logged to a CSV file.
Scheduler,Tasks,Resources,Makespan
OLAR,5300,10,1942.4551152379813
Random-(seed:4000),5400,10,6300.892441112034
Random-(seed:5000),5400,10,6885.806804633907
Random-(seed:6000),5400,10,5783.0993979943105
Proportional-(1),5400,10,3846.1698663317165
Proportional-(tasks/res),5400,10,1982.7822511432296
Proportional-(tasks),5400,10,1982.7822511432296
FedAvg,5400,10,5179.0075143569675
Fed-LBAP,5400,10,1978.7126184299377
OLAR,5400,10,1978.7126184299377
Random-(seed:4000),5500,10,6148.104949081357
Random-(seed:5000),5500,10,6174.542440533829
Random-(seed:6000),5500,10,5114.690646288576
Proportional-(1),5500,10,3913.291186735866
Proportional-(tasks/res),5500,10,2018.258304084071
Proportional-(tasks),5500,10,2018.258304084071
FedAvg,5500,10,5274.895114934323
Fed-LBAP,5500,10,2014.7166953042145
OLAR,5500,10,2014.7166953042145
Random-(seed:4000),5600,10,5948.544631466826
Random-(seed:5000),5600,10,5714.753794500962
Random-(seed:6000),5600,10,10587.068186919854
Proportional-(1),5600,10,3990.001267197751
Proportional-(tasks/res),5600,10,2060.704954676086
Proportional-(tasks),5600,10,2055.07435377495
FedAvg,5600,10,5370.782715511679
Fed-LBAP,5600,10,2052.0250635419306
OLAR,5600,10,2052.0250635419306
Random-(seed:4000),5700,10,4990.090936656923
Random-(seed:5000),5700,10,6569.377722728631
Random-(seed:6000),5700,10,5552.969156608656
Proportional-(1),5700,10,4057.1225876019002
Proportional-(tasks/res),5700,10,2096.1243653728384
Proportional-(tasks),5700,10,2096.1243653728384
FedAvg,5700,10,5466.670316089036
Fed-LBAP,5700,10,2088.6812860979267
OLAR,5700,10,2088.6812860979267
Random-(seed:4000),5800,10,8669.31617537273
Random-(seed:5000),5800,10,6318.11812042577
Random-(seed:6000),5800,10,6204.776006196161
Proportional-(1),5800,10,4133.832668063785
Proportional-(tasks/res),5800,10,2131.5437760695913
Proportional-(tasks),5800,10,2131.5437760695913
FedAvg,5800,10,5562.557916666392
Fed-LBAP,5800,10,2124.4740304891384
OLAR,5800,10,2124.4740304891384
Random-(seed:4000),5900,10,7624.141329079549
Random-(seed:5000),5900,10,6392.7472217019695
Random-(seed:6000),5900,10,7672.085129368227
Proportional-(1),5900,10,4200.953988467934
Proportional-(tasks/res),5900,10,2166.963186766344
Proportional-(tasks),5900,10,2166.963186766344
FedAvg,5900,10,5658.445517243747
Fed-LBAP,5900,10,2161.139711259156
OLAR,5900,10,2161.139711259156
Random-(seed:4000),6000,10,9321.351859298753
Random-(seed:5000),6000,10,6920.928921252865
Random-(seed:6000),6000,10,7787.150250061054
Proportional-(1),6000,10,4277.664068929819
Proportional-(tasks/res),6000,10,2202.3825974630968
Proportional-(tasks),6000,10,2202.3825974630968
FedAvg,6000,10,5754.333117821104
Fed-LBAP,6000,10,2197.805392029173
OLAR,6000,10,2197.805392029173
Random-(seed:4000),6100,10,8218.644452659159
Random-(seed:5000),6100,10,5417.606892208616
Random-(seed:6000),6100,10,8574.79503338337
Proportional-(1),6100,10,4344.785389333969
Proportional-(tasks/res),6100,10,2239.154602229348
Proportional-(tasks),6100,10,2239.154602229348
FedAvg,6100,10,5850.22071839846
Fed-LBAP,6100,10,2234.6222601446107
OLAR,6100,10,2234.6222601446107
Random-(seed:4000),6200,10,5509.647016435815
Random-(seed:5000),6200,10,6531.022682497689
