# Description of the experiment:
#
# - We generate the costs to up to 10.000 tasks for 10 and 100 resources.
# All costs follow quadratic functions with RNG seeds [300..399].
# - We schedule from 1.000 to 10.000 tasks in increments of 100.
# - We run OLAR, Fed-LBAP, FedAvg, Random, and Proportional.
# -- For Random, we generate three different results using three
# starting RNG seeds (10000, 11000, 12000). We increment the starting RNG seed
# each time we change the number of tasks.
# -- For Proportional, we generate three different results using
# three different values for k (1, #tasks/#resources, #tasks)
# - We use no lower or upper limits.
# - Every result is verified and logged to a CSV file.
Scheduler,Tasks,Resources,Makespan
Proportional-(tasks/res),2800,10,1034783.3556447966
Proportional-(tasks),2800,10,1054886.3292732239
FedAvg,2800,10,743531.1471061402
Fed-LBAP,2800,10,352293.0924363477
OLAR,2800,10,352293.0924363477
Random-(seed:10000),2900,10,1031102.8247173884
Random-(seed:11000),2900,10,2037754.0195459197
Random-(seed:12000),2900,10,1241896.357049683
Proportional-(1),2900,10,692677.7441755919
Proportional-(tasks/res),2900,10,1111742.6649781782
Proportional-(tasks),2900,10,1132576.2530573185
FedAvg,2900,10,797500.8600977785
Fed-LBAP,2900,10,377135.74585324107
OLAR,2900,10,377135.74585324107
Random-(seed:10000),3000,10,3522823.053932968
Random-(seed:11000),3000,10,1768223.7209147601
Random-(seed:12000),3000,10,1293028.1331952529
Proportional-(1),3000,10,741970.0425750709
Proportional-(tasks/res),3000,10,1189077.9889888898
Proportional-(tasks),3000,10,1213026.275877441
FedAvg,3000,10,853361.2764570356
Fed-LBAP,3000,10,404147.6109204373
OLAR,3000,10,404147.6109204373
Random-(seed:10000),3100,10,3639185.97805603
Random-(seed:11000),3100,10,2281543.377193311
Random-(seed:12000),3100,10,1539943.0164266853
Proportional-(1),3100,10,789258.3901941846
Proportional-(tasks/res),3100,10,1271476.317010914
Proportional-(tasks),3100,10,1293749.6453311658
FedAvg,3100,10,911112.3961839117
Fed-LBAP,3100,10,431613.53638443723
OLAR,3100,10,431613.53638443723
Random-(seed:10000),3200,10,2904817.821065271
Random-(seed:11000),3200,10,2103570.2449365715
Random-(seed:12000),3200,10,1856818.7139459972
Proportional-(1),3200,10,841817.9174358736
Proportional-(tasks/res),3200,10,1354090.6885723672
Proportional-(tasks),3200,10,1379638.6868399307
FedAvg,3200,10,970754.2192784066
Fed-LBAP,3200,10,459417.63987630646
OLAR,3200,10,459417.63987630646
Random-(seed:10000),3300,10,1640625.4019019029
Random-(seed:11000),3300,10,2145974.931591819
Random-(seed:12000),3300,10,3543902.201320623
Proportional-(1),3300,10,896071.5633364861
Proportional-(tasks/res),3300,10,1441928.0352830342
Proportional-(tasks),3300,10,1465641.103844397
FedAvg,3300,10,1032286.7457405202
Fed-LBAP,3300,10,488680.10899703274
OLAR,3300,10,488680.10899703274
Random-(seed:10000),3400,10,2990772.7771620285
Random-(seed:11000),3400,10,2818958.626704978
Random-(seed:12000),3400,10,2617342.2302110633
Proportional-(1),3400,10,952019.3278960225
Proportional-(tasks/res),3400,10,1529821.4543952288
Proportional-(tasks),3400,10,1556969.1640418048
FedAvg,3400,10,1095709.9755702529
Fed-LBAP,3400,10,518472.4462747405
OLAR,3400,10,518472.4462747405
Random-(seed:10000),3500,10,1969592.043700739
Random-(seed:11000),3500,10,3192965.7602073187
Random-(seed:12000),3500,10,1791938.8111478926
Proportional-(1),3500,10,1005487.7512351891
Proportional-(tasks/res),3500,10,1623097.8197945384
Proportional-(tasks),3500,10,1648250.6285970125
FedAvg,3500,10,1161023.9087676045
Fed-LBAP,3500,10,548799.6157371451
OLAR,3500,10,548799.6157371451
Random-(seed:10000),3600,10,3001243.282163836
Random-(seed:11000),3600,10,3185855.543162652
Random-(seed:12000),3600,10,2074514.2388189295
Proportional-(1),3600,10,1064702.7446369354
Proportional-(tasks/res),3600,10,1716270.2864574743
Proportional-(tasks),3600,10,1745017.7074830632
FedAvg,3600,10,1228228.5453325748
Fed-LBAP,3600,10,581001.5673176947
OLAR,3600,10,581001.5673176947
Random-(seed:10000),3700,10,1996975.1238115865
Random-(seed:11000),3700,10,1325491.4181811332
Random-(seed:12000),3700,10,3326786.6613784973
Proportional-(1),3700,10,1125611.856697605
Proportional-(tasks/res),3700,10,1814985.6705454271
Proportional-(tasks),3700,10,1841578.2195890127
FedAvg,3700,10,1297323.885265164
Fed-LBAP,3700,10,613546.4610776918
OLAR,3700,10,613546.4610776918
Random-(seed:10000),3800,10,3501854.072073981
Random-(seed:11000),3800,10,3608520.2683747676
Random-(seed:12000),3800,10,2352781.8165052636
Proportional-(1),3800,10,1188215.0874171986
Proportional-(tasks/res),3800,10,1913437.1847591046
Proportional-(tasks),3800,10,1943784.3171637056
FedAvg,3800,10,1368309.9285653722
Fed-LBAP,3800,10,646708.8663252365
OLAR,3800,10,646708.8663252365
Random-(seed:10000),3900,10,1917777.3671644984
Random-(seed:11000),3900,10,4415749.1239697095
Random-(seed:12000),3900,10,1556011.445370519
Proportional-(1),3900,10,1247863.5864764184
Proportional-(tasks/res),3900,10,2017591.5875356996
Proportional-(tasks),3900,10,2045623.8768203966
FedAvg,3900,10,1441186.6752331993
Fed-LBAP,3900,10,681752.2236513848
OLAR,3900,10,681752.2236513848
Random-(seed:10000),4000,10,2692777.362462427
Random-(seed:11000),4000,10,2463182.4979213956
Random-(seed:12000),4000,10,2244509.2170133055
Proportional-(1),4000,10,1313734.0460382218
Proportional-(tasks/res),4000,10,2124506.0893483222
Proportional-(tasks),4000,10,2153268.9930837327
FedAvg,4000,10,1515954.1252686451
Fed-LBAP,4000,10,717060.5970026465
OLAR,4000,10,717060.5970026465
Random-(seed:10000),4100,10,4703122.476982121
Random-(seed:11000),4100,10,4864755.9008046305
Random-(seed:12000),4100,10,5906633.303393755
Proportional-(1),4100,10,1381298.6242589487
Proportional-(tasks/res),4100,10,2230915.570765357
Proportional-(tasks),4100,10,2260387.600291165
FedAvg,4100,10,1592612.27867171
Fed-LBAP,4100,10,752753.0862412988
OLAR,4100,10,752753.0862412988
Random-(seed:10000),4200,10,2505112.7263667323
Random-(seed:11000),4200,10,5061505.781047905
Random-(seed:12000),4200,10,4161091.1166592087
Proportional-(1),4200,10,1450557.3211385992
Proportional-(tasks/res),4200,10,2343269.0912666223
Proportional-(tasks),4200,10,2373471.7352431435
FedAvg,4200,10,1671161.1354423938
Fed-LBAP,4200,10,790406.4374747863
OLAR,4200,10,790406.4374747863
Random-(seed:10000),4300,10,3817275.4330549063
Random-(seed:11000),4300,10,4760226.104932065
Random-(seed:12000),4300,10,3040701.054904084
Proportional-(1),4300,10,1521510.1366771737
Proportional-(tasks/res),4300,10,2454957.6202343977
Proportional-(tasks),4300,10,2485869.390001317
FedAvg,4300,10,1751600.6955806962
Fed-LBAP,4300,10,828065.7030967007
OLAR,4300,10,828065.7030967007
Random-(seed:10000),4400,10,2972786.9636176564
Random-(seed:11000),4400,10,4338557.626362161
Random-(seed:12000),4400,10,2463182.4979213956
Proportional-(1),4400,10,1588911.8216397327
Proportional-(tasks/res),4400,10,2572750.1594243064
Proportional-(tasks),4400,10,2604392.543641939
FedAvg,4400,10,1833930.9590866177
Fed-LBAP,4400,10,866623.3186014117
OLAR,4400,10,866623.3186014117
Random-(seed:10000),4500,10,4102734.7278014165
Random-(seed:11000),4500,10,2379316.5596841453
Random-(seed:12000),4500,10,4529804.487828575
Proportional-(1),4500,10,1663131.866020517
Proportional-(tasks/res),4500,10,2689717.7359428233
Proportional-(tasks),4500,10,2725675.796318588
FedAvg,4500,10,1918151.9259601578
Fed-LBAP,4500,10,907119.0056004325
OLAR,4500,10,907119.0056004325
Random-(seed:10000),4600,10,2827894.2342383633
Random-(seed:11000),4600,10,2888045.6466209777
Random-(seed:12000),4600,10,3907639.486483354
Proportional-(1),4600,10,1739046.0290602248
Proportional-(tasks/res),4600,10,2812949.2938213744
Proportional-(tasks),4600,10,2846031.418280118
FedAvg,4600,10,2004263.5962013172
Fed-LBAP,4600,10,947183.0461964373
OLAR,4600,10,947183.0461964373
Random-(seed:10000),4700,10,3760759.2488312414
Random-(seed:11000),4700,10,2041831.1360994065
Random-(seed:12000),4700,10,4598509.603101994
Proportional-(1),4700,10,1816654.3107588564
Proportional-(tasks/res),4700,10,2935195.917890633
Proportional-(tasks),4700,10,2972753.6896454105
FedAvg,4700,10,2092265.969810095
Fed-LBAP,4700,10,988628.5202894952
OLAR,4700,10,988628.5202894952
Random-(seed:10000),4800,10,3330245.5669213827
Random-(seed:11000),4800,10,4626823.462508085
Random-(seed:12000),4800,10,3628135.2423326434
Proportional-(1),4800,10,1890236.0714414685
Proportional-(tasks/res),4800,10,3063866.4944578265
Proportional-(tasks),4800,10,3098388.359157682
FedAvg,4800,10,2182159.046786492
Fed-LBAP,4800,10,1031102.8247173884
OLAR,4800,10,1031102.8247173884
Random-(seed:10000),4900,10,7462037.163059447
Random-(seed:11000),4900,10,2439790.268446915
Random-(seed:12000),4900,10,2932461.7209463962
Proportional-(1),4900,10,1971111.58198231
Proportional-(tasks/res),4900,10,3191392.1660778266
Proportional-(tasks),4900,10,3230549.6492116163
FedAvg,4900,10,2273942.8271305077
Fed-LBAP,4900,10,1074244.762312041
OLAR,4900,10,1074244.762312041
Random-(seed:10000),5000,10,4211417.693043671
Random-(seed:11000),5000,10,5409430.776466861
Random-(seed:12000),5000,10,3312030.4303022656
Proportional-(1),5000,10,2053681.211182075
Proportional-(tasks/res),5000,10,3325501.7613336635
Proportional-(tasks),5000,10,3361463.36627463
FedAvg,5000,10,2367617.3108421424
Fed-LBAP,5000,10,1118435.7715228307
OLAR,5000,10,1118435.7715228307
Random-(seed:10000),5100,10,5669933.030814081
Random-(seed:11000),5100,10,4990710.778956021
Random-(seed:12000),5100,10,7047997.795935616
